,Potential_Customer,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_3_Year,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Status_CustN,Ad_Res_Total,Ad_Res_Ind_Total,Pur_Total
19,0,14.56,4,5,3,3,25.0,21.25,22.0,20.0,17,33,13,32,31,6,15,13,A,0,52.0,M,U,100910.0,A,76,34,34.0
20,0,14.56,2,10,2,6,35.0,32.5,20.9,32.5,15,87,24,41,58,10,19,26,S,1,37.0,F,H,165543.0,S,123,55,47.0
21,0,14.56,5,10,3,5,14.0,14.8,12.8,14.67,22,77,10,30,52,5,15,20,A,1,77.0,F,U,44284.5,A,92,40,29.0
22,0,14.56,1,10,0,4,20.0,20.0,14.0,13.582127875507437,18,110,13,33,66,6,6,29,A,1,62.0,F,H,73899.0,A,112,41,31.0
23,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,17,17,10,15,13,4,6,5,F,0,43.0,F,H,107105.0,Others,38,15,22.0
24,0,14.56,1,14,0,5,17.0,17.0,16.14,13.582127875507437,26,81,11,32,61,5,5,23,A,1,41.0,M,U,44284.5,A,104,33,32.0
25,0,14.56,5,8,1,1,10.0,7.6,8.88,10.0,15,44,13,34,38,6,16,16,A,0,52.0,M,U,44284.5,A,85,38,23.0
26,1,25.0,2,11,2,10,30.0,27.5,17.0,27.5,16,124,9,20,53,4,11,26,A,1,67.0,F,H,107272.0,A,82,41,43.0
27,0,14.56,3,7,1,5,16.0,14.0,11.43,12.0,18,76,13,33,57,6,15,21,A,1,79.0,M,H,107272.0,A,103,42,26.0
28,1,5.0,4,12,3,6,10.0,11.0,9.83,11.33,16,68,12,31,58,5,15,22,S,1,52.0,M,H,107272.0,S,101,42,26.0
29,1,26.0,1,10,0,5,21.0,21.0,8.4,13.582127875507437,17,130,12,24,58,5,5,26,A,1,68.0,M,H,66090.0,A,94,36,32.0
30,1,5.0,5,23,3,14,3.0,3.4,3.17,3.67,16,128,11,29,66,5,12,26,S,1,76.0,M,H,66090.0,S,106,43,31.0
31,0,14.56,9,23,6,13,3.0,3.67,3.43,3.67,17,75,12,32,55,6,17,23,S,1,67.0,M,U,44284.5,S,99,46,35.0
32,0,14.56,2,32,1,17,25.0,25.0,9.44,25.0,17,126,22,44,137,9,20,56,A,1,27.0,M,H,66090.0,A,203,85,59.0
33,0,14.56,1,4,1,3,25.0,25.0,16.25,25.0,17,57,13,32,45,6,15,17,A,0,52.0,M,U,44284.5,A,90,38,30.0
34,0,14.56,1,1,0,0,15.0,15.0,15.0,13.582127875507437,16,16,11,16,13,4,4,5,F,0,43.0,F,H,73671.0,Others,40,13,17.0
35,0,14.56,6,16,3,9,10.0,8.0,7.06,6.67,17,81,13,33,61,6,16,25,S,1,65.0,F,U,44284.5,S,107,47,32.0
36,1,14.0,2,4,1,1,15.0,12.5,10.0,15.0,16,44,12,29,33,5,12,13,A,0,52.0,F,H,67047.0,A,74,30,21.0
37,1,15.0,1,1,1,1,15.0,15.0,15.0,15.0,17,17,10,15,14,3,5,5,F,0,69.0,F,U,67047.0,Others,39,13,17.0
38,1,12.0,2,9,2,6,15.0,15.0,12.22,15.0,25,86,14,34,54,6,16,24,A,0,52.0,M,U,76594.0,A,102,46,26.0
39,1,12.0,6,22,3,12,14.0,12.33,8.77,12.33,15,130,14,32,77,6,15,32,S,1,67.0,M,H,76594.0,S,123,53,42.0
40,0,14.56,4,5,3,3,20.0,10.25,9.6,10.0,22,35,12,32,34,6,16,14,A,0,35.0,M,H,76594.0,A,78,36,29.0
41,1,15.0,2,7,1,2,10.0,12.5,9.0,15.0,17,45,27,47,62,6,15,16,A,0,52.0,M,H,106020.0,A,136,37,19.0
42,1,15.0,2,9,1,6,15.0,15.5,9.56,16.0,26,81,10,30,54,5,16,23,A,1,71.0,F,U,44284.5,A,94,44,26.0
43,0,14.56,1,1,1,1,15.0,15.0,15.0,15.0,17,17,11,16,14,4,6,5,F,0,51.0,F,H,106020.0,Others,41,15,17.0
44,0,14.56,4,19,2,12,5.0,9.25,6.68,9.0,16,129,12,29,69,6,15,30,S,1,85.0,F,H,106020.0,S,110,51,28.0
45,1,10.0,8,25,5,14,10.0,8.0,5.88,8.0,21,104,12,32,72,6,17,29,S,1,70.0,F,H,40165.0,S,116,52,43.0
46,0,14.56,7,9,4,4,10.0,8.57,7.78,8.5,17,44,7,27,33,4,13,13,S,1,52.0,F,U,44284.5,S,67,30,26.0
47,0,14.56,2,7,1,2,25.0,10.0,10.71,10.0,18,69,13,31,50,6,14,18,A,0,52.0,M,H,44284.5,A,94,38,34.0
48,1,25.0,1,4,1,1,20.0,50.0,22.5,50.0,10,17,28,33,32,5,7,6,F,0,52.0,F,H,89773.0,Others,93,18,25.0
49,1,15.0,4,7,2,4,12.0,12.75,11.0,12.0,17,45,13,33,39,6,17,17,S,1,50.0,M,H,89773.0,S,85,40,23.0
50,0,14.56,3,23,2,11,52.0,48.67,38.87,49.5,16,110,29,50,112,6,17,33,S,1,52.0,M,H,87767.0,S,191,56,78.0
51,1,4.0,5,18,5,11,5.0,3.6,3.06,3.6,15,107,10,27,60,4,11,25,A,1,62.0,F,U,87767.0,A,97,40,28.0
52,0,14.56,1,7,0,6,20.0,20.0,18.57,13.582127875507437,17,104,13,31,65,6,6,27,A,0,53.0,F,H,87767.0,A,109,39,28.0
53,0,14.56,1,4,1,3,20.0,20.0,23.75,20.0,17,76,13,26,50,6,12,19,A,1,69.0,M,H,87767.0,A,89,37,25.0
54,0,14.56,3,4,2,3,20.0,20.0,17.5,20.0,25,42,11,32,33,6,16,15,A,0,52.0,F,U,44284.5,A,76,37,27.0
55,1,25.0,1,2,1,1,10.0,16.0,13.0,16.0,15,17,14,18,16,5,7,6,N,0,66.0,M,H,87767.0,Others,48,18,13.0
56,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,24,24,7,17,16,3,7,6,N,0,53.0,F,H,118487.0,Others,40,16,22.0
57,1,40.0,1,3,0,1,25.0,40.0,35.0,13.582127875507437,18,44,13,35,41,6,6,17,A,0,43.0,M,H,72452.0,A,89,29,29.0
58,0,14.56,2,4,0,1,15.0,15.0,13.0,13.582127875507437,26,45,9,30,35,4,4,15,A,0,49.0,F,H,59240.0,A,74,23,21.0
59,1,10.0,13,56,8,24,7.0,10.31,8.29,10.25,17,93,35,57,147,11,22,42,S,1,60.0,F,H,54341.0,S,239,75,76.0
60,1,25.0,1,1,1,1,25.0,25.0,25.0,25.0,21,21,11,18,17,5,8,7,F,0,42.0,F,H,54341.0,Others,46,20,27.0
61,0,14.56,3,10,1,5,12.0,13.0,9.0,18.0,5,68,30,49,68,10,18,25,L,0,67.0,F,U,44284.5,Others,147,53,25.0
62,1,15.0,2,2,1,1,15.0,12.5,12.5,10.0,18,28,11,24,22,4,10,9,A,0,41.0,M,H,42613.0,A,57,23,19.0
63,1,11.0,6,8,4,5,10.0,5.33,5.63,5.0,17,40,13,32,31,6,15,14,S,1,72.0,F,H,42613.0,S,76,35,24.0
64,0,14.56,2,2,2,2,50.0,37.5,37.5,37.5,21,29,13,27,25,6,13,11,A,0,65.0,M,H,42613.0,A,65,30,54.0
65,0,14.56,1,1,0,0,20.0,20.0,20.0,13.582127875507437,20,20,10,16,16,4,4,5,F,0,67.0,M,H,58282.0,Others,42,13,22.0
66,1,20.0,1,1,1,1,20.0,20.0,20.0,20.0,21,21,10,17,15,4,7,6,F,0,52.0,F,U,40014.0,Others,42,17,22.0
67,0,14.56,1,1,0,0,20.0,20.0,20.0,13.582127875507437,15,15,10,14,12,5,5,6,F,0,52.0,M,U,93202.0,Others,36,16,22.0
68,0,14.56,1,5,1,4,30.0,30.0,16.0,30.0,17,93,13,30,53,6,14,22,A,0,35.0,M,H,122794.0,A,96,42,36.0
69,1,20.0,2,4,1,2,27.0,27.0,22.25,27.0,24,81,12,32,47,6,16,19,A,0,17.0,M,H,122794.0,A,91,41,33.0
70,1,8.0,6,7,4,4,8.0,7.67,7.43,7.0,17,28,13,24,24,6,12,10,A,1,73.0,F,H,122794.0,A,61,28,21.0
71,1,6.0,5,20,3,14,7.0,6.4,6.25,6.33,16,116,13,31,75,5,12,28,S,1,50.0,M,H,70182.0,S,119,45,32.0
72,0,14.56,2,3,2,2,10.0,27.5,21.67,27.5,18,33,12,30,29,6,14,12,A,0,52.0,M,U,60513.0,A,71,32,15.0
73,0,14.56,1,2,1,1,6.0,25.0,15.5,25.0,15,17,12,17,15,5,7,6,N,0,43.0,F,H,59456.0,Others,44,18,9.0
74,1,15.0,2,5,0,2,17.0,16.0,10.4,13.582127875507437,24,75,10,29,49,4,4,18,A,0,44.0,F,H,59456.0,A,88,26,24.0
75,0,14.56,4,9,1,4,20.0,13.75,10.67,10.0,16,65,15,36,52,6,16,19,S,1,55.0,F,U,44284.5,S,103,41,33.0
76,1,2.0,5,14,3,8,5.0,4.8,5.29,4.33,20,92,13,34,71,6,16,27,A,1,75.0,F,H,80104.0,A,118,49,24.0
77,1,5.0,7,25,2,15,5.0,8.57,9.36,10.0,7,121,30,52,108,11,22,41,S,1,69.0,M,U,44284.5,S,190,74,37.0
78,1,20.0,2,3,1,2,20.0,15.0,11.67,10.0,18,43,12,31,32,6,14,13,A,0,59.0,M,H,74919.0,A,75,33,25.0
79,0,14.56,1,6,0,4,23.0,23.0,17.17,13.582127875507437,17,113,6,11,38,2,2,14,A,0,81.0,M,H,74919.0,A,55,18,30.0
80,0,14.56,1,1,1,1,25.0,25.0,25.0,25.0,21,21,11,18,16,5,8,7,F,0,40.0,F,H,74919.0,Others,45,20,27.0
81,0,14.56,1,1,1,1,15.0,15.0,15.0,15.0,21,21,8,15,13,3,6,5,F,0,51.0,M,U,44284.5,Others,36,14,17.0
82,1,25.0,2,2,2,2,15.0,10.0,10.0,10.0,16,31,12,25,23,4,9,8,A,0,33.0,F,U,56686.0,A,60,21,19.0
83,0,14.56,1,1,0,0,20.0,20.0,20.0,13.582127875507437,16,16,12,17,14,5,5,6,F,0,36.0,F,H,56686.0,Others,43,16,22.0
84,1,11.0,2,18,1,9,5.0,6.0,5.11,7.0,15,113,13,32,71,5,13,27,S,1,52.0,M,U,60152.0,S,116,45,25.0
85,0,14.56,11,36,8,21,5.0,5.64,6.03,5.5,17,130,13,31,78,6,17,32,S,1,58.0,F,H,68588.0,S,122,55,52.0
86,1,11.0,5,11,2,6,8.0,8.6,7.64,9.0,18,75,13,33,54,6,15,20,A,0,67.0,F,H,55094.0,A,100,41,24.0
87,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,16,16,11,16,14,5,7,6,F,0,57.0,F,H,83386.0,Others,41,18,22.0
88,0,14.56,1,1,1,1,15.0,15.0,15.0,15.0,16,16,11,16,13,4,6,5,F,0,45.0,M,H,56694.0,Others,40,15,17.0
89,0,14.56,3,25,1,9,10.0,6.67,8.2,5.0,18,103,9,23,63,4,11,24,S,1,43.0,F,U,66661.0,S,95,39,38.0
90,1,3.0,7,33,6,20,7.0,5.57,4.82,5.67,17,124,12,30,74,6,17,32,S,1,80.0,M,H,66661.0,S,116,55,47.0
91,1,15.0,1,6,0,4,15.0,15.0,8.67,13.582127875507437,25,87,9,29,50,4,4,21,A,1,52.0,F,U,44284.5,A,88,29,22.0
92,0,14.56,2,3,1,1,15.0,12.5,10.0,15.0,17,41,10,28,29,4,11,11,A,0,34.0,F,U,44284.5,A,67,26,20.0
93,1,25.0,3,4,1,2,20.0,21.67,18.75,20.0,25,41,12,33,38,6,16,15,A,0,58.0,M,U,44284.5,A,83,37,27.0
94,0,14.56,0,1,0,0,15.0,0.0,15.0,13.582127875507437,22,22,7,7,12,3,3,5,N,0,62.0,F,H,81018.0,Others,26,11,16.0
95,1,15.0,2,2,1,1,15.0,10.0,10.0,5.0,17,32,10,23,21,4,9,8,A,0,55.0,F,H,81018.0,A,54,21,19.0
96,0,14.56,3,15,0,5,15.0,13.67,10.47,13.582127875507437,17,124,13,35,69,6,6,31,S,1,87.0,M,H,81018.0,S,117,43,33.0
97,1,15.0,0,1,0,0,15.0,0.0,15.0,13.582127875507437,23,23,8,8,13,3,3,5,N,0,59.0,F,U,81018.0,Others,29,11,16.0
98,0,14.56,4,6,3,3,6.0,7.75,7.17,6.67,19,32,12,29,29,6,15,13,S,1,73.0,F,H,52611.0,S,70,34,16.0
99,0,14.56,2,5,1,4,20.0,17.5,11.6,20.0,20,53,13,34,41,6,16,17,A,1,38.0,M,H,52611.0,A,88,39,27.0
100,0,14.56,3,12,1,3,10.0,7.67,6.83,5.0,18,105,13,33,58,6,17,25,A,0,77.0,M,U,44284.5,A,104,48,25.0
101,0,14.56,4,8,3,4,14.0,14.0,11.0,14.33,21,75,13,29,49,6,14,19,A,0,52.0,M,U,54622.0,A,91,39,26.0
102,0,14.56,6,20,3,13,9.0,7.67,6.15,6.67,17,126,20,39,77,8,18,33,F,1,52.0,M,H,90636.0,Others,136,59,35.0
103,0,14.56,1,11,0,4,50.0,34.0,36.64,13.582127875507437,18,86,13,35,65,6,6,25,A,0,71.0,F,H,88668.0,A,113,37,62.0
104,1,25.0,2,6,2,4,50.0,50.0,35.0,50.0,17,76,13,31,54,6,16,21,A,0,50.0,M,H,88668.0,A,98,43,58.0
105,1,21.0,1,22,0,7,20.0,15.0,22.18,13.582127875507437,17,126,33,44,102,3,3,18,A,1,79.0,M,H,88668.0,A,179,24,43.0
106,0,14.56,1,3,0,2,15.0,15.0,11.67,13.582127875507437,26,44,9,28,32,4,4,13,A,0,55.0,F,H,64856.0,A,69,21,19.0
107,1,23.0,4,13,2,8,25.0,22.5,14.38,22.5,15,102,14,36,69,6,17,28,A,1,50.0,F,H,64856.0,A,119,51,42.0
108,0,14.56,2,11,2,7,28.0,22.0,12.09,22.0,25,79,13,35,60,6,17,24,A,1,52.0,F,H,64856.0,A,108,47,41.0
109,1,11.0,1,12,0,5,10.0,10.0,13.25,13.582127875507437,18,86,13,35,65,6,6,26,S,1,52.0,F,H,68375.0,S,113,38,23.0
110,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,24,24,8,18,16,3,7,6,N,0,52.0,F,U,44284.5,Others,42,16,22.0
111,0,14.56,1,9,1,4,20.0,20.0,12.33,20.0,21,89,12,32,64,6,16,24,A,1,52.0,M,U,69585.0,A,108,46,30.0
112,0,14.56,4,4,2,2,16.0,11.5,11.5,10.0,18,36,12,33,32,6,16,14,A,1,68.0,F,H,69585.0,A,77,36,24.0
113,1,15.0,5,10,5,6,10.0,8.4,7.4,8.4,18,76,22,40,57,6,16,20,A,0,67.0,F,U,69585.0,A,119,42,25.0
114,0,14.56,1,5,0,1,15.0,15.0,10.2,13.582127875507437,18,64,14,30,54,4,4,18,A,0,65.0,M,H,64459.0,A,98,26,21.0
115,0,14.56,2,2,2,2,15.0,12.5,12.5,12.5,17,24,7,17,15,4,9,7,N,0,83.0,F,H,64459.0,Others,39,20,19.0
116,0,14.56,1,7,0,3,20.0,20.0,7.43,13.582127875507437,25,114,10,23,56,4,4,18,A,0,52.0,M,U,44284.5,A,89,26,28.0
117,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,20,20,10,17,15,4,7,6,F,0,63.0,F,H,47135.0,Others,42,17,22.0
118,0,14.56,2,2,2,2,50.0,50.0,50.0,50.0,16,25,14,27,24,6,12,10,N,0,57.0,F,H,70339.0,Others,65,28,54.0
119,1,3.0,4,18,3,13,5.0,4.75,3.72,5.67,17,128,12,27,67,5,13,28,S,1,81.0,F,U,70339.0,S,106,46,27.0
120,0,14.56,6,17,2,8,17.0,15.67,13.59,16.0,16,104,14,36,70,6,17,29,S,1,72.0,M,H,70339.0,S,120,52,40.0
121,1,20.0,2,3,1,2,20.0,20.0,16.67,20.0,15,35,13,27,25,5,11,11,A,0,52.0,F,U,44284.5,A,65,27,25.0
122,1,10.0,5,13,3,5,20.0,22.4,18.46,22.33,15,89,14,34,65,6,17,25,A,1,58.0,F,H,55087.0,A,113,48,38.0
123,0,14.56,3,3,1,1,25.0,19.33,19.33,13.0,18,29,14,28,25,6,13,11,A,0,52.0,M,U,49203.0,A,67,30,31.0
124,0,14.56,2,6,0,3,15.0,13.0,10.17,13.582127875507437,9,69,18,36,56,5,5,17,A,0,52.0,M,U,80479.0,A,110,27,23.0
125,0,14.56,3,6,1,2,4.0,23.33,13.83,20.0,20,41,12,32,35,6,16,16,A,0,70.0,M,H,48019.0,A,79,38,13.0
126,0,14.56,1,1,1,1,25.0,25.0,25.0,25.0,21,21,11,18,16,5,8,7,N,0,25.0,M,H,62339.0,Others,45,20,27.0
127,0,14.56,6,12,2,5,15.0,13.83,12.08,12.5,18,53,13,35,46,6,17,19,A,1,64.0,F,H,44284.5,A,94,42,33.0
128,0,14.56,2,6,0,1,15.0,15.0,13.67,13.582127875507437,26,76,9,28,50,4,4,18,A,0,68.0,F,H,91382.0,A,87,26,23.0
129,1,10.0,3,6,2,3,20.0,16.67,13.33,15.0,26,65,10,32,44,5,16,17,A,0,52.0,F,U,91382.0,A,86,38,29.0
130,1,15.0,2,6,1,2,15.0,11.0,7.17,7.0,16,96,12,27,51,5,11,20,A,0,49.0,M,H,91382.0,A,90,36,23.0
131,0,14.56,1,5,0,2,15.0,15.0,21.0,13.582127875507437,25,124,9,27,48,4,4,21,A,0,60.0,M,H,91382.0,A,84,29,21.0
132,1,15.0,1,5,0,2,15.0,15.0,9.2,13.582127875507437,18,92,10,27,39,4,4,15,A,0,52.0,F,U,44284.5,A,76,23,21.0
133,0,14.56,3,11,2,4,25.0,16.67,16.73,17.5,18,52,13,33,47,6,17,19,A,1,31.0,M,U,44284.5,A,93,42,39.0
134,0,14.56,1,1,1,1,20.0,20.0,20.0,20.0,24,24,7,17,15,3,7,6,N,0,63.0,M,H,72339.0,Others,39,16,22.0
135,0,14.56,3,26,2,15,10.0,8.33,7.15,9.0,21,122,12,30,78,5,13,30,A,1,72.0,F,H,72339.0,A,120,48,39.0
136,1,3.0,9,16,7,10,3.0,3.17,3.22,3.21,18,53,14,33,45,6,17,19,S,1,30.0,M,U,44284.5,S,92,42,28.0
137,1,11.0,4,7,3,5,11.0,10.75,9.0,10.33,23,65,12,28,43,6,13,16,A,0,55.0,F,H,72339.0,A,83,35,22.0
138,0,14.56,3,7,3,7,5.0,9.0,7.0,9.0,16,76,13,31,55,5,12,18,S,1,56.0,F,H,72339.0,S,99,35,15.0
139,1,20.0,1,8,1,4,16.0,16.0,11.13,16.0,20,75,13,31,52,6,14,21,A,1,47.0,M,H,72339.0,A,96,41,25.0
140,0,14.56,8,22,5,12,3.0,4.25,3.55,4.6,20,77,7,28,54,4,15,22,S,1,75.0,F,H,72339.0,S,89,41,33.0
141,0,14.56,2,10,0,5,15.0,13.5,11.9,13.582127875507437,18,124,13,33,62,6,6,29,A,1,45.0,F,H,72339.0,A,108,41,27.0
142,1,10.0,8,47,7,25,8.0,8.63,7.62,8.57,20,130,10,32,83,5,16,32,S,1,45.0,F,H,72339.0,S,125,53,63.0
143,1,10.0,2,12,1,7,18.0,17.0,9.67,18.0,17,128,16,37,83,6,16,31,A,1,73.0,M,U,44284.5,A,136,53,32.0
144,0,14.56,1,2,0,0,16.0,16.0,13.0,13.582127875507437,18,37,10,24,23,4,4,9,A,0,46.0,F,U,76959.0,A,57,17,19.0
145,1,15.0,1,7,0,3,15.0,15.0,8.43,13.582127875507437,25,92,9,29,54,4,4,23,A,0,40.0,F,H,76959.0,A,92,31,23.0
146,0,14.56,1,1,1,1,25.0,25.0,25.0,25.0,17,17,11,16,14,5,7,6,F,0,52.0,F,U,95776.0,Others,41,18,27.0
147,0,14.56,2,13,0,5,50.0,50.0,32.15,13.582127875507437,17,126,24,46,100,8,8,38,A,0,52.0,M,H,95776.0,A,170,54,65.0
148,1,16.0,1,7,0,2,16.0,16.0,15.86,13.582127875507437,20,84,15,30,60,4,4,18,A,0,79.0,F,H,93770.0,A,105,26,24.0
149,1,5.0,8,52,5,19,5.0,5.0,5.0,5.0,6,57,34,54,88,13,22,23,A,0,52.0,F,U,44284.5,A,176,58,65.0
150,1,10.0,6,20,2,10,3.0,4.83,3.25,5.0,19,113,14,35,63,6,17,26,S,1,52.0,F,U,44284.5,S,112,49,29.0
151,0,14.56,1,6,0,3,20.0,20.0,13.67,13.582127875507437,26,81,9,26,52,4,4,19,A,1,75.0,F,H,88147.0,A,87,27,27.0
152,1,24.0,1,13,0,7,18.0,18.0,12.62,13.582127875507437,24,92,11,30,69,5,5,24,A,1,49.0,F,U,88147.0,A,110,34,32.0
153,0,14.56,2,2,1,1,20.0,15.0,15.0,20.0,24,32,9,24,23,4,10,9,A,0,53.0,M,H,88147.0,A,56,23,24.0
154,1,30.0,2,5,1,2,25.0,20.0,19.4,20.0,18,40,12,34,36,5,16,15,A,0,82.0,F,H,76673.0,A,82,36,32.0
155,1,5.0,5,14,4,11,5.0,6.4,5.36,6.75,17,122,13,31,65,6,14,28,A,1,51.0,M,H,122155.0,A,109,48,24.0
156,1,20.0,1,6,1,2,20.0,25.0,26.67,25.0,18,44,15,35,40,6,17,17,A,1,52.0,F,U,44284.5,A,90,40,27.0
157,1,17.0,1,7,0,4,15.0,15.0,10.71,13.582127875507437,24,73,11,30,51,5,5,20,A,0,46.0,M,H,51904.0,A,92,30,23.0
158,1,25.0,1,34,1,14,25.0,28.0,15.85,28.0,14,122,33,50,126,7,17,33,A,1,83.0,F,U,44284.5,A,209,57,60.0
159,0,14.56,3,13,3,8,15.0,15.0,12.62,15.0,18,119,17,38,82,6,16,26,A,0,75.0,F,H,51904.0,A,137,48,31.0
160,1,20.0,13,35,8,18,27.0,22.69,17.8,22.5,18,91,14,35,72,6,17,27,S,1,44.0,F,U,44284.5,S,121,50,75.0
161,0,14.56,2,5,1,2,10.0,15.0,11.0,10.0,17,105,11,24,47,5,11,18,A,0,22.0,F,H,46071.0,A,82,34,17.0
162,0,14.56,7,26,2,11,10.0,8.57,7.31,7.5,18,130,14,36,81,6,17,32,A,1,79.0,F,H,46071.0,A,131,55,43.0
163,0,14.56,1,7,0,4,20.0,20.0,10.14,13.582127875507437,17,74,13,28,49,6,6,20,A,0,73.0,M,H,46071.0,A,90,32,28.0
164,0,14.56,4,7,3,4,10.0,9.25,9.57,10.67,16,44,14,33,37,6,15,15,A,1,52.0,M,H,46250.0,A,84,36,21.0
165,1,17.0,1,4,1,2,17.0,17.0,12.0,17.0,15,85,10,24,46,4,9,15,A,0,58.0,F,H,46250.0,A,80,28,22.0
166,0,14.56,2,3,1,1,10.0,7.5,6.67,5.0,17,22,11,19,17,5,9,8,N,0,63.0,F,H,56172.0,Others,47,22,15.0
167,1,25.0,1,1,1,1,15.0,15.0,15.0,15.0,17,17,10,15,13,4,6,5,F,0,47.0,F,H,52613.0,Others,38,15,17.0
168,0,14.56,2,3,2,2,5.0,10.0,8.33,10.0,19,24,11,20,19,5,9,8,N,0,80.0,F,U,65726.0,Others,50,22,10.0
169,0,14.56,1,2,0,1,15.0,15.0,12.5,13.582127875507437,26,52,9,23,31,4,4,12,A,0,69.0,M,U,65726.0,A,63,20,18.0
170,0,14.56,3,4,2,3,21.0,19.33,17.0,23.0,21,37,12,30,30,6,15,14,A,0,45.0,M,H,78804.0,A,72,35,28.0
171,0,14.56,7,11,5,7,5.0,7.57,7.45,7.6,17,57,13,35,46,6,17,19,S,1,71.0,M,U,52266.0,S,94,42,23.0
172,0,14.56,2,2,1,1,15.0,10.0,10.0,5.0,15,27,9,20,18,3,8,7,N,0,59.0,F,H,66631.0,Others,47,18,19.0
173,1,20.0,2,3,0,1,20.0,15.0,12.0,13.582127875507437,18,56,14,27,35,6,6,12,A,0,52.0,F,U,44284.5,A,76,24,25.0
174,0,14.56,1,2,0,0,20.0,20.0,20.0,13.582127875507437,19,20,13,20,18,6,6,7,N,0,72.0,F,U,37529.0,Others,51,19,23.0
175,1,20.0,2,25,0,8,14.0,19.0,13.24,13.582127875507437,5,126,32,51,114,8,8,33,A,1,81.0,F,H,70936.0,A,197,49,41.0
